days,confirmed,recovered,deaths,active,cfr_recovered,cfr_confirmed
2020-03-08,3,0,0,3,,0.0
2020-03-09,3,0,0,3,,0.0
2020-03-10,3,0,0,3,,0.0
2020-03-11,3,0,0,3,,0.0
2020-03-12,3,0,0,3,,0.0
2020-03-13,3,0,0,3,,0.0
2020-03-14,3,0,0,3,,0.0
2020-03-15,5,0,0,5,,0.0
2020-03-16,8,2,0,6,0.0,0.0
2020-03-17,10,3,0,7,0.0,0.0
2020-03-18,14,3,1,10,25.0,7.142857142857143
2020-03-19,17,3,1,13,25.0,5.882352941176471
2020-03-20,20,3,1,16,25.0,5.0
2020-03-21,25,3,2,20,40.0,8.0
2020-03-22,27,3,2,22,40.0,7.407407407407407
2020-03-23,33,3,3,27,50.0,9.090909090909092
2020-03-24,39,5,4,30,44.44444444444444,10.256410256410257
2020-03-25,39,7,5,27,41.666666666666664,12.820512820512821
2020-03-26,44,11,5,28,31.25,11.363636363636363
2020-03-27,48,11,5,32,31.25,10.416666666666666
2020-03-28,48,15,5,28,25.0,10.416666666666666
2020-03-29,48,15,5,28,25.0,10.416666666666666
2020-03-30,49,19,5,25,20.833333333333332,10.204081632653061
2020-03-31,51,25,5,21,16.666666666666668,9.803921568627452
2020-04-01,54,25,6,23,19.35483870967742,11.11111111111111
2020-04-02,56,25,6,25,19.35483870967742,10.714285714285714
2020-04-03,61,26,6,29,18.75,9.836065573770492
2020-04-04,70,30,8,32,21.05263157894737,11.428571428571429
2020-04-05,88,33,9,46,21.428571428571427,10.227272727272727
2020-04-06,123,33,12,78,26.666666666666668,9.75609756097561
2020-04-07,164,33,17,114,34.0,10.365853658536585
2020-04-08,218,33,20,165,37.735849056603776,9.174311926605505
2020-04-09,330,33,21,276,38.888888888888886,6.363636363636363
2020-04-10,424,33,27,364,45.0,6.367924528301887
2020-04-11,482,36,30,416,45.45454545454545,6.224066390041494
2020-04-12,621,39,34,548,46.57534246575342,5.475040257648954
2020-04-13,803,42,39,722,48.148148148148145,4.85678704856787
2020-04-14,1012,42,46,924,52.27272727272727,4.545454545454546
2020-04-15,1231,49,50,1132,50.505050505050505,4.061738424045491
2020-04-16,1572,49,60,1463,55.04587155963303,3.816793893129771
2020-04-17,1838,58,75,1705,56.390977443609025,4.080522306855277
2020-04-18,2144,66,84,1994,56.0,3.917910447761194
2020-04-19,2456,75,91,2290,54.81927710843374,3.705211726384365
2020-04-20,2948,85,101,2762,54.30107526881721,3.4260515603799186
2020-04-21,3382,87,110,3185,55.83756345177665,3.2525133057362505
2020-04-22,3772,92,120,3560,56.60377358490566,3.1813361611876987
2020-04-23,4186,108,127,3951,54.04255319148936,3.0339225991399905
2020-04-24,4689,112,131,4446,53.90946502057613,2.793772659415654
2020-04-25,4998,113,140,4745,55.33596837944664,2.8011204481792715
2020-04-26,5416,122,145,5149,54.30711610486891,2.6772525849335302
2020-04-27,5913,131,152,5630,53.71024734982332,2.5706071368171823
2020-04-28,6462,139,155,6168,52.72108843537415,2.3986381925100586
2020-04-29,7103,150,163,6790,52.07667731629393,2.2948050119667744
2020-04-30,7667,160,168,7339,51.21951219512195,2.19120907786618
2020-05-01,8238,174,170,7894,49.41860465116279,2.0636076717649914
2020-05-02,8790,177,175,8438,49.71590909090909,1.9908987485779295
2020-05-03,9455,1063,177,8215,14.274193548387096,1.872025383395029
2020-05-04,10143,1209,182,8752,13.08411214953271,1.7943409247757074
2020-05-05,10929,1403,183,9343,11.538461538461538,1.6744441394455118
2020-05-06,11719,1403,186,10130,11.70547514159849,1.5871661404556703
2020-05-07,12425,1910,199,10316,9.4357515410147,1.6016096579476862
2020-05-08,13134,2101,206,10827,8.929345470307759,1.5684483021166438
2020-05-09,13770,2414,214,11142,8.143074581430746,1.5541031227305737
2020-05-10,14657,2650,228,11779,7.922168172341904,1.5555707170635191
2020-05-11,15691,2902,239,12550,7.60904170646291,1.5231661461984578
2020-05-12,16660,3147,250,13263,7.359434795407712,1.5006002400960383
2020-05-13,17822,3361,269,14192,7.410468319559229,1.509370441027943
2020-05-14,18863,3361,283,15219,7.766190998902305,1.5002915761013624
2020-05-15,20065,3882,298,15885,7.1291866028708135,1.4851731871417893
2020-05-16,20995,4117,314,16564,7.0864364703227265,1.4955941890926412
2020-05-17,22268,4373,328,17567,6.977238885343544,1.472965690677205
2020-05-18,23870,4585,349,18936,7.073368463721119,1.4620863007959781
2020-05-19,25121,4993,370,19758,6.899123624836845,1.472871302893993
2020-05-20,26738,5207,386,21145,6.901483997854461,1.4436382676340789
2020-05-21,28511,5602,408,22501,6.788685524126456,1.431026621304058
2020-05-22,30205,6190,432,23583,6.523708849290244,1.430226783645092
2020-05-23,32078,6486,452,25140,6.514845776880946,1.4090654030799925
2020-05-24,33610,6901,480,26229,6.503183850426772,1.428146385004463
2020-05-25,35585,7334,501,27750,6.3943841735800895,1.407896585640017
2020-05-26,36751,7579,522,28650,6.443648932230589,1.4203695137547279
2020-05-27,38292,7925,544,29823,6.423426614712481,1.4206622793272747
2020-05-28,40321,8425,559,31337,6.222172751558326,1.3863743458743583
2020-05-29,42844,9015,582,33247,6.0643951234760864,1.358416581084866
2020-05-30,44608,9375,610,34623,6.109163745618428,1.367467718794835
2020-05-31,47153,9781,650,36722,6.2314255584315985,1.3784912942972876
2020-06-01,49534,10597,672,38265,5.963262046321768,1.3566439213469537
2020-06-02,52445,11120,709,40616,5.993744188012512,1.3518924587663266
2020-06-03,55140,11590,746,42804,6.0473411154345005,1.3529198404062386
2020-06-04,57563,12161,781,44621,6.0346159789831555,1.3567743168354671
2020-06-05,60391,12804,811,46776,5.956665442526625,1.3429153350664833
2020-06-06,63026,13325,846,48855,5.969938607014325,1.342303176466855
2020-06-07,65769,13903,888,50978,6.00365086877155,1.3501801760707932
2020-06-08,68504,14560,930,53014,6.003873466752744,1.3575849585425668
2020-06-09,71675,15337,975,55363,5.9771947032859245,1.360306941053366
2020-06-10,74865,15900,1012,57953,5.983916745506149,1.3517665130568357
2020-06-11,78052,16747,1049,60256,5.89458305237132,1.3439758109977964
2020-06-12,81523,17249,1095,63179,5.969254252071522,1.3431792254946457
2020-06-13,84379,17828,1139,65412,6.005166868772077,1.3498619324713494
2020-06-14,87520,18730,1171,67619,5.884126425807748,1.337979890310786
2020-06-15,90619,18731,1209,70679,6.063189568706118,1.3341572959313168
2020-06-16,94481,36264,1262,56955,3.3630016521878163,1.3357182925667594
2020-06-17,98489,38189,1305,58995,3.304299387248696,1.3250210683426575
2020-06-18,102292,40164,1343,60785,3.2355988146577688,1.3129081453095062
2020-06-19,105535,42945,1388,61202,3.1308506078993075,1.315203486994836
2020-06-20,108775,43993,1425,63357,3.1375225681447882,1.3100436681222707
2020-06-21,112306,45077,1464,65765,3.145613545046303,1.3035812868413086
2020-06-22,115786,46755,1502,67529,3.1125018132084463,1.2972207348038622
2020-06-23,119198,47635,1545,70018,3.1415209434729565,1.2961626872934109
2020-06-24,122660,49666,1582,71412,3.0869497346237904,1.2897440078265123
2020-06-25,126606,51495,1621,73490,3.0518111303562017,1.2803500623983066
2020-06-26,130474,53133,1661,75680,3.0313537978610796,1.273050569462115
2020-06-27,133978,54318,1695,77965,3.0260832306785925,1.2651330815507023
2020-06-28,137787,55727,1738,80322,3.0244496650134867,1.2613671826805142
2020-06-29,141801,57780,1783,82238,2.9934690999445963,1.2573959280964169
2020-06-30,145483,59624,1847,84012,3.0046688682468154,1.2695641415148162
2020-07-01,149258,62108,1888,85262,2.9501843865241577,1.264923823178657
2020-07-02,153277,66442,1926,84909,2.8171074186754037,1.2565486015514395
2020-07-03,156391,68048,1968,86375,2.8107861060329067,1.2583844338868604
2020-07-04,159679,70721,1997,86961,2.7462251437058227,1.2506340846322936
2020-07-05,162417,72625,2052,87740,2.7478340051153634,1.2634145440440347
2020-07-06,165618,76149,2096,87373,2.6787654163205317,1.2655629219046238
2020-07-07,168645,78102,2151,88392,2.680273634630481,1.275460286400427
2020-07-08,172134,80838,2197,89099,2.6458722225567533,1.2763312303205643
2020-07-09,175494,84544,2238,88712,2.5788758037381023,1.2752572737529488
2020-07-10,178443,86406,2275,89762,2.565374770243908,1.2749169202490431
2020-07-11,181129,88034,2305,90790,2.551500459380777,1.2725736905741212
2020-07-12,183795,93614,2352,87829,2.45086801575558,1.2796866073614626
2020-07-13,186894,98317,2391,86186,2.37419072963419,1.2793348101062634
2020-07-14,190057,103227,2424,84406,2.294346480392992,1.2754068516287218
2020-07-15,193590,105523,2457,85610,2.2754213743285794,1.2691771269177128
2020-07-16,196323,106963,2496,86864,2.280305867950557,1.271374214941703
2020-07-17,199357,108725,2547,88085,2.2889855489251563,1.2776075081386657
2020-07-18,202066,110098,2581,89387,2.2905776586586675,1.2773054348579178
2020-07-19,204525,111642,2618,90265,2.291265534745318,1.2800391150226134
2020-07-20,207453,113556,2668,91229,2.29556718061674,1.286074436137342
2020-07-21,210510,115397,2709,92404,2.2937022674546594,1.2868747327917913
2020-07-22,213254,117202,2751,93301,2.293398247646995,1.2900109728305214
2020-07-23,216110,119208,2801,94101,2.295732282044767,1.2960992087362917
2020-07-24,218658,120976,2836,94846,2.29056957322392,1.2970026251040438
2020-07-25,221178,122090,2874,96214,2.2998623603597834,1.2994059083633995
2020-07-26,223453,123882,2928,96643,2.308966169860421,1.3103426671380558
2020-07-27,226225,125683,2965,97577,2.3047385112866117,1.310642059896121
2020-07-28,229185,127414,3000,98771,2.300366525066327,1.3089861901956934
2020-07-29,232194,130292,3035,98867,2.276358127011033,1.307096651937604
2020-07-30,234889,132960,3083,98846,2.266195247090993,1.31253485688985
2020-07-31,237661,135136,3111,99414,2.250320079278393,1.3090073676370966
2020-08-01,239860,136253,3132,100475,2.24701366718083,1.3057616943216876
2020-08-02,240746,136839,3154,100753,2.25296979134671,1.3100944563980295
2020-08-03,242102,137905,3184,101013,2.256731566599806,1.3151481606926005
2020-08-04,244020,139860,3234,100926,2.2600528324038742,1.3253012048192772
2020-08-05,246674,141750,3267,101657,2.2528393222863525,1.3244200848082894
2020-08-06,249651,143824,3306,102521,2.2469924556514647,1.3242486511169593
2020-08-07,252502,145584,3333,103585,2.2381595116742883,1.3199895446372703
2020-08-08,255113,146604,3365,105144,2.243797051390621,1.3190233347575389
2020-08-09,257600,148370,3399,105831,2.239587794608912,1.3194875776397517
2020-08-10,260507,150437,3438,106632,2.234281072298944,1.319734210597028
2020-08-11,263503,151972,3471,108060,2.232972858218125,1.3172525549993739
2020-08-12,266498,153089,3513,109896,2.2432663695227393,1.318208767045156
2020-08-13,269115,154871,3557,110687,2.2451839321332088,1.321739776675399
2020-08-14,271881,156623,3591,111667,2.241377158051107,1.320798437551723
2020-08-15,274525,157635,3625,113265,2.2479226094505766,1.3204626172479739
2020-08-16,276549,158950,3657,113942,2.2489806711888174,1.322369634314353
2020-08-17,279144,160591,3694,114859,2.2485315153544145,1.323331327200298
2020-08-18,282344,162825,3740,115779,2.2453696755020562,1.324625279800527
2020-08-19,285091,165738,3781,115572,2.230428447548652,1.326243199539796
2020-08-20,287959,168991,3822,115146,2.211639170664244,1.3272722852906143
2020-08-21,290360,172615,3861,113884,2.1878329064575355,1.329728612756578
<<<<<<< HEAD
2020-08-22,292625,175567,3907,113151,2.1769169907618933,1.335155916275096
2020-08-23,294598,179091,3941,111566,2.153175401022772,1.3377551782428938
2020-08-24,297083,182875,3983,110225,2.1315651457256313,1.3407027665669191
2020-08-25,299628,186756,4028,108844,2.1112881583361287,1.3443336403807389
2020-08-26,302147,190183,4082,107882,2.1012534424626157,1.3509980241405672
2020-08-27,304583,193458,4127,106998,2.0887213098160284,1.3549672831379296
2020-08-28,306794,196836,4174,105784,2.0765136062882443,1.3605220441077726
2020-08-29,308925,198863,4206,105856,2.071217172488169,1.3614955086185967
2020-08-30,310822,201907,4248,104667,2.0605854817976765,1.3666986249364588
2020-08-31,312996,204887,4281,103828,2.0466801805247457,1.3677491086148066
2020-09-01,314946,208177,4316,102453,2.0311257312005573,1.3703936547852649
2020-09-02,317528,211016,4351,102161,2.0202723722761613,1.3702728578267114
2020-09-03,319686,213980,4383,101323,2.0072081808731332,1.3710328259604738
2020-09-04,321615,216191,4412,101012,1.9999728018204648,1.371826562815789
2020-09-05,323565,217852,4447,101266,2.000458841470272,1.3743760913572234
2020-09-06,325157,221275,4479,99403,1.9840180018958689,1.3774884132895802
2020-09-07,327359,224573,4516,98270,1.9712862686554133,1.3795252307100156
2020-09-08,329251,227809,4552,96890,1.9590206618150205,1.38253186778476
2020-09-09,331078,230804,4593,95681,1.95117185010854,1.387286379644676
2020-09-10,332970,233550,4634,94786,1.9455546972088806,1.391716971498934
2020-09-11,334762,236024,4668,94070,1.9394080401508982,1.3944235008752486
2020-09-12,336044,238271,4702,93071,1.9351944454733654,1.3992215305138613
2020-09-13,337520,240643,4733,92144,1.9288764997391759,1.402287271865371
2020-09-14,339332,243155,4759,91418,1.9196172866397219,1.4024613063312625
2020-09-15,341056,245594,4802,90660,1.9177622645729164,1.4079799211859636
2020-09-16,342671,247969,4823,89879,1.907892654830849,1.4074724735971238
2020-09-17,344264,250412,4859,88993,1.9034672955408174,1.411416819650036
2020-09-18,345805,252335,4881,88589,1.897626897238119,1.4114891340495366
2020-09-19,347372,254386,4913,88073,1.8947238516153166,1.4143339129233214
2020-09-20,348918,256565,4939,87414,1.8886900391581007,1.4155188325050585
2020-09-21,350621,258717,4979,86925,1.8881590922880893,1.4200518508589046
2020-09-22,352178,260790,5007,86381,1.8837684398243772,1.4217242417186764
2020-09-23,353844,262953,5044,85847,1.8821106206412759,1.4254869377465775
2020-09-24,355384,265092,5072,85220,1.8773781851023823,1.4271886185084304
2020-09-25,356767,267024,5093,84650,1.8716213981485905,1.427542345564472
2020-09-26,357873,268777,5129,83967,1.8725402145261514,1.4331899863918205
2020-09-27,359148,270491,5161,83496,1.8722882475004716,1.4370120396048425
2020-09-28,360555,272073,5193,83289,1.8729306874986476,1.440279568997795
2020-09-29,362043,273698,5219,83126,1.8711659741069924,1.4415414743552561
2020-09-30,363479,275487,5251,82741,1.8704272310837864,1.4446501723620897
2020-10-01,364987,277078,5272,82637,1.8671861165220471,1.4444350072742316
2020-10-02,366383,278627,5305,82451,1.8684051110829354,1.4479383595854611
2020-10-03,367565,280069,5325,82171,1.8658416084430647,1.4487233550528478
2020-10-04,368690,281656,5348,81686,1.863388663572633,1.4505411049933548
2020-10-05,370132,283182,5375,81575,1.8627168982211486,1.45218462602531
2020-10-06,371631,284833,5405,81393,1.8622647620228916,1.4543996598776743
2020-10-07,373151,286631,5440,81080,1.8625608156920748,1.4578548630447192
2020-10-08,374592,288316,5460,80816,1.858558902020587,1.4575858534085084
2020-10-09,375870,289912,5477,80481,1.8541651855688601,1.4571527389789023
2020-10-10,377073,291365,5500,80208,1.8526939854816162,1.4586035064828295
2020-10-11,378266,292860,5524,79882,1.8513057000375355,1.4603480090729803
2020-10-12,379738,294391,5555,79792,1.8520000266714676,1.4628507023263408
2020-10-13,381275,295873,5577,79825,1.8500580527450654,1.4627237558192905
2020-10-14,382959,297449,5593,79917,1.8456187591158981,1.460469658631864
2020-10-15,384559,299229,5608,79722,1.839671693396799,1.4582937858690084
2020-10-16,386086,300738,5623,79725,1.8354163878561567,1.456411265883767
2020-10-17,387295,302298,5646,79351,1.8334502377055568,1.4578034831330122
2020-10-18,388569,303972,5660,78937,1.8279764365440265,1.4566267509760171
2020-10-19,390206,305599,5681,78926,1.8250449755846827,1.4558976540596504
2020-10-20,391586,307141,5699,78746,1.8216979925840686,1.4553635727528564
2020-10-21,393131,308845,5723,78563,1.8193204648915338,1.4557488470764197
2020-10-22,394827,310532,5747,78548,1.817066577294098,1.4555742135162995
2020-10-23,396413,312065,5761,78587,1.8126270349184774,1.4532823091069162
2020-10-24,397507,313563,5780,78164,1.809966086621595,1.454062444183373
2020-10-25,398815,315107,5803,77905,1.8082951606369386,1.4550606170780938
2020-10-26,400251,316600,5818,77833,1.8044898237691445,1.4535878736093102
2020-10-27,401586,318123,5838,77625,1.8020687675368332,1.4537359370097562
2020-10-28,403079,319733,5861,77485,1.8000945963377704,1.454057393215722
2020-10-29,404760,321281,5886,77593,1.799081203177582,1.4541950785650757
2020-10-30,406364,322703,5905,77756,1.7969739020352518,1.4531306907107913
2020-10-31,407684,324145,5923,77616,1.7944787134772229,1.452840925815092
2020-11-01,409252,325940,5941,77371,1.7900994633618676,1.4516728079520687
2020-11-02,410988,327901,5966,77121,1.786939110484115,1.4516238916951347
2020-11-03,412647,329787,5983,76877,1.7818744974238319,1.449907548098011
2020-11-04,414164,331697,6004,76463,1.7779041222856906,1.4496672815599618
2020-11-05,416006,333588,6021,76397,1.7729212123353622,1.4473348942082567
2020-11-06,417475,335027,6036,76412,1.769761011895163,1.445835079944907
2020-11-07,418764,336568,6049,76147,1.7655282720939125,1.4444890200685827
2020-11-08,420238,338145,6067,76026,1.7625765516600236,1.4437057096216905
2020-11-09,421921,339768,6092,76061,1.7614063493899266,1.4438721940837265
2020-11-10,423620,341416,6108,76096,1.757576455151299,1.4418582692035316
2020-11-11,425353,343131,6127,76095,1.7542905244833333,1.4404506374705244
2020-11-12,427198,344868,6140,76190,1.7492478803901905,1.4372726464075207
2020-11-13,428965,346387,6159,76419,1.7470060644568368,1.4357814740130315
2020-11-14,430496,347849,6173,76474,1.7436769466304354,1.4339273767932803
2020-11-15,432333,349542,6194,76597,1.7411788517327456,1.4326919296005625
2020-11-16,434472,351146,6215,77111,1.7391377346716625,1.430471929146182
2020-11-17,436684,352895,6254,77535,1.741338553079641,1.43215689148217
2020-11-18,438795,354788,6275,77732,1.7379238526240572,1.4300527581216742
2020-11-19,441159,356722,6305,78132,1.736785418164489,1.4291899292545318
2020-11-20,443434,358431,6322,78681,1.733227691067654,1.4256913091914467
2020-11-21,445281,360352,6350,78579,1.7316513136006895,1.426065787671156
2020-11-22,447341,362428,6388,78525,1.7320289792199905,1.42799340994901
2020-11-23,449760,364611,6416,78733,1.7292542052195663,1.4265385983635717
2020-11-24,451990,366877,6448,78665,1.727181410299337,1.4265802340759752
2020-11-25,454146,369179,6487,78480,1.7267998700973737,1.4283952737665861
2020-11-26,456438,371453,6524,78461,1.7260309489730856,1.4293288464150662
2020-11-27,458711,373676,6544,78491,1.721108831728999,1.426606294595072
2020-11-28,460619,375885,6580,78154,1.7204188618566405,1.4285125016553812
2020-11-29,462407,378172,6609,77626,1.7176004012672144,1.4292603701933577
2020-11-30,464932,380711,6644,77577,1.7152224703437415,1.4290261801725843
2020-12-01,467225,383224,6675,77326,1.7119818209331135,1.4286478677296806
2020-12-02,469423,385786,6713,76924,1.7103228288479715,1.4300534912008998
2020-12-03,471739,388379,6748,76612,1.7078053385367236,1.4304520084199102
2020-12-04,473991,390951,6772,76268,1.702692577497404,1.4287191107004142
2020-12-05,475789,393408,6807,75574,1.700835800757093,1.4306762031068394
2020-12-06,477545,395960,6838,74747,1.6976251123391874,1.4319069407071585
2020-12-07,479743,398623,6874,74246,1.695203663652259,1.4328505053747527
2020-12-08,481945,401194,6906,73845,1.6922322960058809,1.4329435931485959
2020-12-09,484104,405966,6930,71208,1.6783887468030692,1.4315105845025036
2020-12-10,485965,410452,6967,68546,1.6690663338276408,1.4336423404977725
2020-12-11,487849,414318,6986,66545,1.6581850635170803,1.432000475556986
2020-12-12,489178,417503,7020,64655,1.6536206518845857,1.4350604483439566
2020-12-13,490533,420896,7052,62585,1.6478637591483076,1.4376198950937042
2020-12-14,492332,423845,7089,61398,1.6450314897408884,1.439882030824728
2020-12-15,494209,426729,7129,60351,1.643164353313757,1.442507117434122
2020-12-16,495841,429351,7156,59334,1.6393780626656618,1.4432045756603427
2020-12-17,496975,431590,7192,58193,1.6390827335670104,1.447155289501484
2020-12-18,498293,433614,7217,57462,1.6371353194308023,1.4483446486304243
2020-12-19,499560,435601,7242,56717,1.6353425480362114,1.4496757146288735
2020-12-20,500713,437527,7280,55906,1.6366648906154804,1.4539267005250514
2020-12-21,502183,439694,7312,55177,1.6357722267710053,1.456042916626011
2020-12-22,503501,441929,7329,54243,1.6313565924257332,1.4556078339467051
2020-12-23,504868,444345,7359,53164,1.6291642314436003,1.4576087214875968
2020-12-24,506102,446690,7378,52034,1.624866760044751,1.4578089001821768
2020-12-25,507265,448803,7398,51064,1.6216536132099666,1.4584093126866629
2020-12-26,508099,450488,7428,50183,1.6221315699822676,1.4619198227117156
2020-12-27,509148,451961,7452,49735,1.622069902244821,1.4636215795800043
2020-12-28,510080,453318,7479,49283,1.62305744178022,1.466240589711418
2020-12-29,511261,454563,7509,49189,1.6250714174414378,1.468721455381889
2020-12-30,512496,456070,7531,48895,1.6244572380128601,1.4694748837064093
2020-12-31,513510,457459,7559,48492,1.6255284741665914,1.472025861229577
2021-01-01,514500,458656,7576,48268,1.6249420889171056,1.4724975704567542
2021-01-02,515184,459620,7599,47965,1.6264321442407095,1.4750069877946521
2021-01-03,516019,460598,7626,47795,1.628707627118644,1.4778525596925696
2021-01-04,516929,461515,7650,47764,1.6305564140547568,1.4798937571697468
2021-01-05,517920,462459,7670,47791,1.6314671079639844,1.4809236947791165
2021-01-06,518898,463480,7687,47731,1.6314809823268608,1.4814086776206499
2021-01-07,519905,464446,7718,47741,1.6346015367541786,1.4845019763225975
2021-01-08,520690,465279,7734,47677,1.6350501994659765,1.4853367646776392
2021-01-09,521382,466064,7756,47562,1.6369085306656537,1.4875849185434096
2021-01-10,522453,466801,7781,47871,1.6395480654554955,1.4893205704627976
2021-01-11,523302,467718,7803,47781,1.640936993318907,1.491108384833232
2021-01-12,524020,468681,7819,47520,1.6409233997901365,1.492118621426663
2021-01-13,524910,469522,7833,47555,1.6409171371411213,1.49225581528262
2021-01-14,525723,470405,7849,47469,1.641178118740251,1.492991556389962
2021-01-15,526485,471123,7862,47500,1.6413875173544057,1.493299904080838
2021-01-16,527063,471756,7883,47424,1.6435277364851482,1.4956466304787093
2021-01-17,527632,472437,7906,47289,1.6459071954832276,1.4983928192376506
2021-01-18,528329,473173,7922,47234,1.6466602230328728,1.499444474938911
2021-01-19,529031,473855,7942,47234,1.6484120905692647,1.5012352773277937
2021-01-20,529687,474472,7950,47265,1.647934795676814,1.5008863725181099
2021-01-21,530271,475074,7966,47231,1.649138787678039,1.502250735944451
2021-01-22,530890,475561,7981,47348,1.6505288061843646,1.503324605850553
2021-01-23,531326,475899,8003,47424,1.6538472665953023,1.5062315791058596
2021-01-24,531799,476413,8023,47363,1.6561527219281804,1.5086527052514203
2021-01-25,532401,476979,8041,47381,1.6578697785658323,1.5103277416834304
2021-01-26,532916,477426,8055,47435,1.65917924697362,1.5114952450292354
2021-01-27,533444,477935,8072,47437,1.6608814276337585,1.5131860139021154
2021-01-28,533953,478546,8087,47320,1.6618272907920342,1.5145527789899111
2021-01-29,534407,478960,8094,47353,1.661828051920321,1.5145759692518999
2021-01-30,534770,479297,8111,47362,1.664108919016512,1.516726817136339
2021-01-31,535139,479744,8127,47268,1.6658091995629993,1.5186708500034571
2021-02-01,535582,480216,8137,47229,1.6662127600321899,1.5192818279927256
2021-02-02,536107,480728,8149,47230,1.6668814446169486,1.520032381595465
2021-02-03,536545,481306,8162,47077,1.6675247411475316,1.521214436813315
2021-02-04,537030,481917,8175,46938,1.6680541612595186,1.5222613261828948
2021-02-05,537465,482424,8182,46859,1.6677333746427887,1.5223316867144838
2021-02-06,537770,482841,8190,46739,1.667919133415202,1.522955910519367
2021-02-07,538062,483372,8205,46485,1.6691179611739362,1.5249172028502291
2021-02-08,538378,483931,8221,46226,1.670418894975536,1.5269940450761361
2021-02-09,538765,484573,8229,45963,1.6698390022767764,1.5273820682486798
2021-02-10,539153,485290,8239,45624,1.6694054452727196,1.5281376529482356
2021-02-11,539531,485971,8248,45312,1.668895772926577,1.528735142188308
2021-02-12,539975,486393,8253,45329,1.668465933212843,1.5284040927820732
2021-02-13,540266,486767,8266,45233,1.6697876707209418,1.5299870804381546
2021-02-14,540592,487229,8274,45089,1.6698183462057747,1.530544292183384
2021-02-15,541038,487870,8285,44883,1.669841077888966,1.531315730133558
2021-02-16,541434,488621,8298,44515,1.6698898613254876,1.5325967707975487
2021-02-17,541877,489254,8314,44309,1.670927390828992,1.5342965285479915
2021-02-18,542268,489932,8329,44007,1.6716138730504695,1.535956390567026
2021-02-19,542674,490468,8337,43869,1.671394633173284,1.5362814507420661
2021-02-20,543024,490892,8342,43790,1.670959910583013,1.5362120274610331
2021-02-21,543351,491367,8349,43635,1.6707489854237207,1.536575804590403
2021-02-22,543717,492059,8356,43302,1.669814054334902,1.5368289018000172
2021-02-23,544116,492887,8374,42855,1.6705867801404857,1.539010064030464
2021-02-24,544544,493798,8379,42367,1.6685351977490008,1.5387186343068695
2021-02-25,544954,494755,8384,41815,1.6663387254814277,1.5384784770824693
2021-02-26,545424,495498,8395,41531,1.6660283036279528,1.5391695268268357
2021-02-27,545831,496107,8400,41324,1.664991764237166,1.5389378763756547
2021-02-28,546216,496924,8408,40884,1.6638566328671052,1.5393177790471169
2021-03-01,546801,497797,8416,40588,1.6625412622749711,1.5391339811009856
2021-03-02,547316,498391,8423,40502,1.66195093268931,1.5389646931571523
2021-03-03,547930,499627,8428,39875,1.6588755154461623,1.5381526837369737
2021-03-04,548549,500468,8435,39646,1.6574867902134591,1.5376930775555147
2021-03-05,549184,501144,8441,39599,1.656445931493274,1.5370076331429903
2021-03-06,549724,501966,8451,39307,1.655705041172218,1.5373169081211662
2021-03-07,550330,503003,8462,38865,1.6544631597470012,1.5376228808169643
2021-03-08,551175,504120,8476,38579,1.6535439215288452,1.5378055971333968
2021-03-09,552087,505349,8489,38249,1.6520771137985124,1.5376199765616652
2021-03-10,553105,506613,8496,37996,1.6493596500934753,1.5360555409913126
2021-03-11,554156,507920,8502,37734,1.646328003067259,1.5342250196695515
2021-03-12,555222,509172,8515,37535,1.644816269290131,1.5336207859198663
2021-03-13,556236,510310,8527,37399,1.6434834061564614,1.5329824031526187
2021-03-14,557395,511695,8545,37155,1.6425111487005997,1.5330241570161196
2021-03-15,559168,513127,8571,37470,1.6429045156393163,1.5328130365113883
2021-03-16,560887,514479,8597,37811,1.6435470180241494,1.5327508036378095
2021-03-17,562752,515989,8608,38155,1.6408786173005183,1.5296258387353576
2021-03-18,564939,517223,8624,39092,1.6400207664967186,1.5265364933205179
2021-03-19,566838,518841,8642,39355,1.638346638659445,1.5245978568832719
2021-03-20,568706,520418,8668,39620,1.6382969876352804,1.524161869225927
2021-03-21,570878,522105,8690,40083,1.6371668911726749,1.522216655747813
2021-03-22,573687,523859,8720,41108,1.6373157785042218,1.5199926092102487
2021-03-23,577241,525694,8738,42809,1.6350068858152207,1.513752488128875
2021-03-24,580808,527609,8763,44436,1.6337541855279545,1.508760209914464
2021-03-25,584395,529594,8797,46004,1.6339426179115177,1.5053174650707142
2021-03-26,588132,531651,8830,47651,1.6337299553545823,1.5013636394550882
=======
>>>>>>> b524199def02b9575a7003c77986bd21ed31654b
